City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,charters towers,-20.1,146.2667,30.33,19,0,6.9,AU,1693969352
341,mel'nikovo,56.5558,84.085,10.14,76,100,4.76,RU,1693969352
342,aasiaat,68.7098,-52.8699,3.13,98,100,3.24,GL,1693969352
343,vel'sk,61.0701,42.0983,13.81,85,94,4.89,RU,1693969352
344,tupa,-21.9347,-50.5136,23.0,64,33,5.59,BR,1693969352
345,east london,-33.0153,27.9116,13.45,55,0,6.64,ZA,1693969263
346,ostersund,63.1792,14.6357,9.25,81,75,8.75,SE,1693969353
347,andergrove,-21.0833,149.1833,28.14,60,0,4.45,AU,1693969353
348,suhbaatar,50.2314,106.2078,24.02,59,99,3.12,MN,1693969353
349,konarka,19.9,86.1167,27.22,81,98,2.93,IN,1693969353
350,coron,11.9986,120.2043,30.24,70,52,2.62,PH,1693969354
351,yanam,16.7333,82.2167,24.65,96,100,3.81,IN,1693969354
352,ust-tsilma,65.441,52.1498,13.72,82,98,4.6,RU,1693969354
353,brezina,33.0989,1.2608,28.38,22,21,3.15,DZ,1693969354
354,neiafu,-18.65,-173.9833,25.38,73,40,3.09,TO,1693969355
355,ilha de mocambique,-15.0342,40.7358,22.75,85,0,2.0,MZ,1693969355
356,laharpur,27.7167,80.9,26.91,67,100,1.75,IN,1693969355
357,boquira,-12.8231,-42.7306,23.06,62,0,3.19,BR,1693969356
358,tarawa,1.419,172.984,32.05,66,20,2.57,KI,1693969356
359,porto novo,6.4965,2.6036,23.45,94,100,2.02,BJ,1693969356
360,kodinsk,58.6881,99.1844,11.9,79,100,2.32,RU,1693969357
361,sovetskaya gavan',48.9723,140.2878,17.11,74,63,6.25,RU,1693969357
